building_id,damage_grade
300051,3
99355,2
890251,3
745817,1
421793,3
871976,3
691228,1
896100,3
343471,3
766647,2
800548,1
652685,2
590834,2
612530,3
535718,1
269418,3
281421,2
797571,3
216579,3
81554,2
132785,2
976125,2
851237,3
322922,3
786774,1
922680,3
134349,3
551456,2
194812,1
520031,3
765502,3
517764,1
174470,2
395012,3
159776,3
62638,3
65760,2
761527,2
37201,2
853163,3
562505,3
349010,3
780817,2
179897,2
845103,2
171560,1
586661,3
84102,2
610806,3
269531,2
3781,3
127674,2
820462,3
955190,2
405557,1
143219,3
360041,1
378036,3
613583,2
992040,3
849585,2
491236,3
847580,3
229211,3
173624,1
642562,2
86467,2
684629,2
304627,1
255913,3
861624,3
367328,1
13216,3
838446,3
981040,3
335849,3
823769,3
666855,2
398783,1
829946,1
326177,3
359387,3
924578,1
712624,1
946541,2
373943,2
865274,1
522404,2
841632,3
649142,1
332157,1
722082,1
279597,2
107512,2
26477,2
138895,3
553866,3
157718,1
582842,3
123399,2
189875,2
70843,1
225218,1
703273,3
245176,2
760257,3
641933,2
76772,2
302226,2
535232,2
311900,2
859468,3
496582,3
970295,1
38184,2
533972,3
787930,1
706637,3
684359,2
744804,2
675284,2
900064,2
13833,2
483231,3
993785,2
91756,1
116435,3
27649,2
806119,2
527762,1
119879,2
521901,2
960588,2
150992,1
136949,1
681857,3
676342,2
85413,2
242230,3
46916,3
343837,3
693348,2
826208,2
639042,1
180348,2
997642,2
1014983,3
995476,3
599482,2
405738,3
209844,3
51119,1
1009242,2
260072,2
504317,2
678345,2
96671,1
738466,2
475174,1
767788,1
73477,1
140388,3
514634,3
59716,3
1038485,3
531485,3
666051,3
799813,1
420703,2
589536,3
661373,3
183074,3
875195,2
734876,3
988161,1
596967,3
370776,3
422000,1
829879,2
622400,2
789622,3
780895,1
14602,2
988846,3
1052375,3
101200,3
1005009,3
892887,3
582579,2
643663,2
420773,2
593771,2
678254,1
842277,3
797666,2
247831,3
987658,1
738804,3
803821,2
450829,3
490713,3
317799,2
260213,2
563507,2
890921,3
358475,2
877097,3
611331,3
140112,2
489116,1
751219,3
637592,1
363399,2
349807,2
1010213,2
274275,1
422044,2
635742,1
162240,2
380659,3
39235,2
594817,2
276267,2
622421,2
411651,3
528011,3
851293,2
669376,3
1753,1
638718,2
751101,3
559460,2
76515,2
80460,1
553776,2
312150,1
772309,3
437345,2
487537,2
393387,2
891125,1
1023631,2
107261,1
126191,2
137116,3
929006,2
222150,2
910002,2
86044,3
176074,3
153074,1
610702,1
856941,2
617478,2
485928,2
922208,1
306370,3
236678,2
419900,3
699568,3
771219,3
991482,2
211384,2
607193,2
911675,1
526435,3
303475,2
592882,3
715235,3
493169,3
981940,2
991842,2
942957,2
547080,2
636191,3
823756,3
151559,2
467575,1
17506,2
356258,3
235542,2
950690,3
715814,3
755888,3
550420,2
447977,1
490413,3
497546,2
975798,3
27136,2
705001,3
827358,3
812768,3
198545,3
69810,2
687284,3
169271,1
560991,3
89659,1
196494,3
978469,3
541401,1
762181,3
887981,2
974381,3
214827,3
14115,1
150603,2
236827,3
